confession,compound,positive,negative,neutral,timestamp
" ""what the fuck kind of prof has office hours literally the hour after the pset is due and leaves the room immediately after lecture? Do they *want* to be inaccessible and unhelpful? I'm struggling already""1414Like
",-0.7691,0.0,0.168,0.832,02/26/2019 20:43:00
" ""How tf can I use the pool and the sauna in the Z at the same session? Am I supposed to walk accross rockwell to Dupont and back dripping in my swimming suit, or is there a better way?""
",0.504,0.087,0.0,0.913,02/25/2019 23:34:00
" ""I don't give a fuck Julie Zhang is objectively the hottest smartest girl at MIT. Please come to our party this weekend.""
",0.8968,0.411,0.0,0.589,02/25/2019 23:34:00
" ""I think my neighbor just realized I’m trans as my voice has been dropping all year thanks to T. Today for the first time he said “madam—wait I mean. uh. ???? sorry???” ""(Note the maam thing was part of a joke we don’t have that weird a roommate relationship)
",0.6553,0.119,0.033,0.847,02/25/2019 23:33:00
" ""Is Amir F single? Asking for a friend (actually, for once on this page).""
",0.4939,0.225,0.0,0.775,02/25/2019 23:32:00
" ""Born too late for Bexley LSD, born too early for College of Computing sex robots. Born just in time for the golden age of MIT Confessions (even though it's passed).""
",0.0,0.0,0.0,1.0,02/25/2019 23:32:00
" ""Ngl, I miss my 中文课的 peng yous a lot </3""
",-0.1531,0.0,0.186,0.814,02/25/2019 23:31:00
" ""Petition to use the college of computing tents for our tent parties.""
",0.0,0.0,0.0,1.0,02/25/2019 23:31:00
" ""So does your girlfriend know you've been trying to hit me up for the past 3 years or?""1515Like
",0.0,0.0,0.0,1.0,02/25/2019 23:30:00
" ""Another juicy confession: I once sucked a guy's dick in the handicap shower that's in the lower-level bathroom in Stata. Yes, I am that trashy and horrible.""
",-0.5574,0.09,0.21,0.7,02/25/2019 23:30:00
" ""MCAT SCORES COME OUT TODAY.""
",0.0,0.0,0.0,1.0,02/25/2019 23:30:00
" ""Michael Birnbaum x1000""1717Like
",0.0,0.0,0.0,1.0,02/25/2019 23:30:00
" ""@guy with the razer laptop this morning in stata...holy SHIT you type fast. if what looked like your terminal work is any indication, you’d be a freaking piano god or something wowzers""
",-0.5473,0.119,0.184,0.697,02/25/2019 23:29:00
" ""Mikael is the most wholesome guy I know, get you a friend like Mikael Nida""
",0.6908,0.341,0.0,0.659,02/25/2019 23:28:00
" ""You are really awsome. I love how passionate you are about teaching, and I think you'll do a great job. Not only are you crazy smart, but you also got that nerdy professor with a sense of humor vibe, which is really cool. Keep being great <3""
",0.9585,0.362,0.052,0.586,02/25/2019 23:28:00
" ""Y'all want a juicy confession? I stayed home over IAP and in my horny boredom, I made the great decision to hookup with a 45 year old guy at a Hotel 6 and smoke crack. Somehow, I didn't catch anything.""
",0.4767,0.143,0.061,0.796,02/25/2019 23:27:00
" ""Shoutout to Zack Remscrim and Svetlana for somehow getting me to understand 18.06. Ta award of the year""
",0.5423,0.171,0.0,0.829,02/25/2019 23:27:00
" ""Apparently the Mayans made hot pockets and we have archeological evidence.""Source: 3.985
",0.0,0.0,0.0,1.0,02/25/2019 23:27:00
" ""What do u mean by situational?""
",0.0,0.0,0.0,1.0,02/25/2019 23:26:00
" ""I just did an entire 6.042 question without wanting to cry i’m so proud of myself is this what learning feels like""
",0.815,0.308,0.0,0.692,02/25/2019 23:25:00
" ""where's everyone gonna be (semi-permanently) post graduation???!!!""Like for east coastHeart for west coastHaha for midwest coast...See More
",0.0,0.0,0.0,1.0,02/25/2019 23:25:00
" ""MIT confessions will now have oppression, goodbye freedom of expression.""
",0.6369,0.318,0.0,0.682,02/25/2019 23:23:00
" ""MIT memes admins are cancelled. unsub from T-series, subscribe to pewdiepie""
",-0.25,0.0,0.167,0.833,02/25/2019 23:22:00
" ""6.031 is a reading comprehension class #specs""Change my mind.
",0.0,0.0,0.0,1.0,02/25/2019 23:21:00
" ""Such wholesome shoutouts at TKD tonight, I love you all <3""
",0.6369,0.318,0.0,0.682,02/25/2019 23:20:00
" ""A real gentleman jerks off in the shower a few hours before your netflix and chill sesh, just so he can last longer for you. My pussy and I thank you <3""
",0.1027,0.077,0.064,0.859,02/25/2019 23:20:00
